Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
38298,67988-99-2,"2-Propenoic acid, polymer with 1,3-butadiene and 2-propenenitrile, 2-hydroxy-3-[(2-methyl-1-oxo-2-propen-1-yl)oxy]propyl ester",FALSE, ,0, 
38305,nan,"Poly(oxy-1,2-ethanediyl), .alpha.-hexyl-.omega.-hydroxy-, phosphate",FALSE, ,0, 
38306,nan,"1,3-Isobenzofurandione, polymer with 2,5-furandione and 1,2-propanediol, benzoate",FALSE, ,0, 
38311,nan,"Hexanedioic acid, polymer with 2,2-bis(hydroxymethyl)-1,3-propanediol, 1,3-isobenzofurandione and 1,2,3-propanetriol, isononanoate",FALSE, ,0, 
38312,67989-13-3,"Hexanedioic acid, polymer with 2,2-dimethyl-1,3-propanediol, benzoate",FALSE, ,0, 
38314,67989-15-5,"Oxirane, 2-methyl-, polymer with oxirane, ether with 2,2'-oxybis[ethanol] (2:1), butyl ether, potassium salt",FALSE, ,0, 
38315,67989-16-6,"Oxirane, 2-methyl-, polymer with oxirane, ether with 2,2'-oxybis[ethanol] (2:1), butyl ether",FALSE, ,0, 
38321,67989-22-4,"C.I. Basic Violet 1, molybdatephosphate",FALSE, ,0, 
38322,67989-23-5,"1,2,4-Benzenetricarboxylic acid, decyl octyl ester",TRUE, CAS,3, Scout
38323,67989-24-6,"9-Octadecenoic acid (9Z)-, ester with 2,2-dimethyl-1,3-propanediol",FALSE, ,0, 
38325,67989-26-8,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-1,2-ethanediylbis[.omega.-hydroxy-, butyl ether",FALSE, ,0, 
38326,67989-28-0,"Soybean oil, polymer with pentaerythritol, TDI and tung oil",FALSE, ,0, 
38328,67989-30-4,"Fatty acids, C18-unsatd., dimers, polymers with ethylenediamine, hexamethylenediamine and propionic acid",FALSE, ,0, 
38330,67989-32-6,"Linseed oil, polymer with p-tert-butylphenol, formaldehyde, glycerol, phthalic anhydride, rosin and tung oil",FALSE, ,0, 
38338,67989-40-6,"Alcohols, C11-15-secondary",FALSE, ,0, 
38342,67989-44-0,"Soybean oil, polymer with pentaerythritol, phthalic anhydride and tung oil",FALSE, ,0, 
38343,67989-45-1,"Soybean oil, polymer with pentaerythritol, phthalic anhydride and styrene",FALSE, ,0, 
38345,67989-47-3,"Safflower oil, polymer with glycerol and phthalic anhydride",FALSE, ,0, 
38346,67989-48-4,"Castor oil, dehydrated, polymer with pentaerythritol, phthalic anhydride and soybean oil",FALSE, ,0, 
38350,67989-52-0,"Fatty acids, C18-unsatd., dimers, polymers with bisphenol A and epichlorohydrin",TRUE, CAS,3, Scout
38358,67989-60-0,"Fats and Glyceridic oils, menhaden, polymers with isophthalic acid and pentaerythritol",FALSE, ,0, 
38359,67989-61-1,"Linseed oil, polymer with isophthalic acid and pentaerythritol",FALSE, ,0, 
38360,67989-62-2,"Linseed oil, polymer with ethylene glycol, pentaerythritol and phthalic anhydride",FALSE, ,0, 
38363,67989-65-5,"Coconut oil, polymer with glycerol, pentaerythritol and phthalic anhydride",FALSE, ,0, 
38384,67989-88-2,"Cuprate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, diammonium (1:2), (OC-6-21)-",FALSE, ,0, 
38390,67989-97-3,"Phosphoric acid, mono(2-ethylhexyl) ester, potassium salt (1:2)",FALSE, ,0, 
38398,67990-05-0,"2-Naphthalenecarboxamide, N-(5-chloro-2-methoxyphenyl)-3-hydroxy-4-[2-[2-methoxy-5-[(phenylamino)carbonyl]phenyl]diazenyl]-",TRUE, CAS,1, Scout
38399,nan,"2-Naphthalenecarboxamide, 4-[2-[5-(aminocarbonyl)-2-chlorophenyl]diazenyl]-3-hydroxy-N-phenyl-",FALSE, ,0, 
38409,67990-17-4,"Acetic acid, 2-(2-butoxyethoxy)-, sodium salt (1:1)",TRUE, CAS,1, Scout
38410,67990-18-5,"Acetic acid, 2-[2-[2-(hexyloxy)ethoxy]ethoxy]-, sodium salt (1:1)",FALSE, ,0, 
